TRAVEL_ID,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,SLEEP,ACTIVITY,RESULT_MVMN,Cluster
e_e002283,20,0,나홀로 여행,1,없음,자가용,8
e_e003103,30,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e003378,60,0,나홀로 여행,1,쇼핑 / 구매,자가용,7
e_e007385,30,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,지하철,0
e_e011029,30,2,자녀 동반 여행,0,쇼핑 / 구매,자가용,6
e_e000460,40,2,3인 이상 여행(가족 외),1,쇼핑 / 구매,자가용,3
e_e004222,30,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e000865,20,0,나홀로 여행,1,휴식,지하철,8
f_f000041,40,1,자녀 동반 여행,1,휴식,자가용,0
e_e001041,40,3,자녀 동반 여행,1,단순 구경 / 산책 / 걷기,자가용,3
e_e010578,40,3,3인 이상 여행(가족 외),0,없음,자가용,6
e_e001063,30,1,2인 가족 여행,0,쇼핑 / 구매,지하철,0
e_e006893,30,0,나홀로 여행,0,쇼핑 / 구매,자가용,0
e_e007219,30,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e010222,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,버스,5
f_f006622,40,3,자녀 동반 여행,1,휴식,자가용,3
e_e012346,20,1,2인 여행(가족 외),0,없음,기차,5
e_e002206,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,0
e_e007216,30,0,나홀로 여행,0,없음,자가용,0
e_e001554,30,1,2인 여행(가족 외),2,휴식,자가용,9
e_e002508,20,0,나홀로 여행,1,쇼핑 / 구매,자가용,8
e_e006510,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,지하철,5
e_e011130,20,1,2인 여행(가족 외),0,쇼핑 / 구매,지하철,5
e_e003417,20,0,나홀로 여행,1,쇼핑 / 구매,자가용,8
e_e011432,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,5
e_e002340,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,버스,5
e_e005970,40,4,3인 이상 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,6
e_e004914,30,1,2인 여행(가족 외),1,쇼핑 / 구매,자가용,0
e_e004391,40,1,2인 가족 여행,0,체험 활동 / 입장 및 관람,지하철,0
e_e003744,20,0,나홀로 여행,1,단순 구경 / 산책 / 걷기,자가용,8
e_e010404,30,2,3인 이상 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,0
e_e006208,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,버스,5
e_e001215,30,2,자녀 동반 여행,0,단순 구경 / 산책 / 걷기,자가용,6
e_e005876,30,0,나홀로 여행,1,휴식,자가용,0
e_e003686,40,0,나홀로 여행,0,쇼핑 / 구매,버스,0
e_e000751,30,2,자녀 동반 여행,2,체험 활동 / 입장 및 관람,항공기,9
e_e004499,40,2,3인 이상 여행(가족 외),0,없음,자가용,6
e_e006086,20,1,2인 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,8
e_e002160,30,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,지하철,0
e_e007768,50,2,3인 이상 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,7
e_e002412,30,0,나홀로 여행,0,쇼핑 / 구매,지하철,0
e_e002082,20,1,2인 여행(가족 외),1,휴식,기차,8
e_e001955,50,3,3인 이상 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,6
e_e002178,30,0,나홀로 여행,0,체험 활동 / 입장 및 관람,자가용,0
e_e000307,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e004488,20,1,2인 여행(가족 외),0,쇼핑 / 구매,기차,5
e_e007166,30,1,2인 가족 여행,0,없음,자가용,0
e_e011715,30,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,0
e_e003071,20,1,2인 여행(가족 외),1,체험 활동 / 입장 및 관람,버스,8
e_e002745,30,3,3인 이상 여행(가족 외),1,휴식,기차,1
e_e006887,20,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,5
e_e006793,50,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,7
e_e007315,20,1,2인 여행(가족 외),0,휴식,자가용,5
e_e001519,40,1,2인 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,0
e_e013094,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e001909,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e012221,20,2,부모 동반 여행,0,쇼핑 / 구매,자가용,5
e_e000715,30,1,2인 여행(가족 외),1,휴식,자가용,0
e_e001291,30,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e003783,30,1,2인 여행(가족 외),1,단순 구경 / 산책 / 걷기,택시,0
e_e007603,30,2,3인 이상 여행(가족 외),0,단순 구경 / 산책 / 걷기,버스,0
e_e007452,20,1,2인 여행(가족 외),0,쇼핑 / 구매,자가용,5
