TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
f007187,47,남,20,6,2.0,1,1,12,,2,,2,2,27,27110,26,26350,47,47130,4,1,4,7,1,7,7,4,경상북도,대구,나홀로 여행,2023-08-16~2023-08-17,2,1.0,,0
f005694,11,여,20,7,1.0,1,1,3,,6,,2,1,42,42150,48,48310,28,28110,6,6,5,6,7,5,6,6,서울특별시,강원,2인 여행(가족 외),2023-08-05~2023-08-06,7,9.0,1.0,1
f016789,11,여,20,7,2.0,1,1,12,,1,,2,3,42,42830,26,26290,42,42130,1,1,1,7,7,1,3,3,서울특별시,강원,2인 여행(가족 외),2023-09-16~2023-09-16,6,,,1
f003464,48,여,60,6,1.0,2,3,3,,5,5.0,1,4,48,48840,47,47110,42,42150,1,1,2,1,4,6,4,6,경상남도,부산,2인 가족 여행,2023-06-21~2023-06-21,1,7.0,3.0,1
f009779,31,남,20,5,2.0,1,1,12,,2,,3,3,11,11350,27,27110,47,47130,7,2,2,5,6,4,2,6,울산광역시,경북,나홀로 여행,2023-08-25~2023-08-26,5,2.0,1.0,0
f001165,48,여,40,6,1.0,2,5,2,,5,9.0,2,2,48,48860,50,50110,30,30200,2,1,2,3,6,6,2,7,경상남도,부산,3대 동반 여행(친척 포함),2023-05-27~2023-05-28,1,3.0,2.0,8
f001491,29,남,30,8,2.0,1,1,2,,5,,2,1,42,42150,50,50130,48,48840,2,2,2,3,5,3,5,6,광주광역시,경남,2인 여행(가족 외),2023-05-27~2023-05-27,7,3.0,1.0,1
f001374,41,여,50,5,1.0,2,4,2,,4,9.0,3,6,42,42210,26,26350,41,41830,1,1,1,1,1,4,7,4,경기도,강원,2인 여행(가족 외),2023-05-26~2023-05-27,1,2.0,7.0,1
f013681,48,여,20,6,1.0,1,4,3,,4,6.0,3,7,11,11410,42,42150,26,26230,3,3,3,5,4,5,4,5,경상남도,경남,2인 가족 여행,2023-09-09~2023-09-09,1,2.0,3.0,1
f002506,11,남,50,6,1.0,2,4,1,,7,11.0,2,3,42,42210,42,42150,28,28710,1,2,1,6,1,1,2,7,서울특별시,강원,나홀로 여행,2023-06-03~2023-06-04,2,1.0,4.0,0
f001505,27,남,50,7,1.0,2,4,2,,5,6.0,3,4,50,50110,47,47110,11,11110,2,5,3,5,4,4,4,5,대구광역시,경북,자녀 동반 여행,2023-05-27~2023-05-27,7,1.0,2.0,3
f010995,26,여,50,5,1.0,2,3,2,,4,8.0,2,1,48,48310,48,48250,31,31140,6,7,7,7,1,7,7,1,부산광역시,울산,2인 가족 여행,2023-08-25~2023-08-25,3,7.0,2.0,1
f001586,26,남,40,5,1.0,4,5,4,,3,6.0,3,6,48,48840,47,47130,50,50130,1,4,2,2,4,4,6,4,부산광역시,경남,3대 동반 여행(친척 포함),2023-05-27~2023-05-27,7,8.0,1.0,4
f001653,41,남,40,6,1.0,1,4,3,,5,10.0,3,3,50,50130,42,42210,26,26110,2,2,1,4,3,2,6,4,경기도,부산,3인 이상 여행(가족 외),2023-05-25~2023-05-29,1,2.0,3.0,2
f005035,26,여,60,6,1.0,4,3,13,,4,6.0,2,1,48,48840,48,48860,47,47130,1,2,4,4,4,4,2,4,부산광역시,울산,자녀 동반 여행,2023-07-30~2023-07-30,2,3.0,6.0,2
f009495,42,남,20,6,2.0,1,5,12,,2,7.0,2,10,42,42150,41,41110,26,26320,2,2,3,4,5,5,5,6,강원도,강원,2인 여행(가족 외),2023-08-22~2023-08-23,7,3.0,1.0,1
f008752,42,여,40,6,1.0,2,3,11,,2,6.0,2,2,42,42130,11,11170,50,50130,4,3,4,3,3,4,3,6,강원도,강원,자녀 동반 여행,2023-08-20~2023-08-21,2,3.0,1.0,3
f000417,11,남,30,6,1.0,2,3,3,,7,9.0,3,4,42,42210,41,41820,26,26710,4,4,2,4,4,4,2,6,서울특별시,강원,3대 동반 여행(친척 포함),2023-06-06~2023-06-07,3,1.0,10.0,7
