TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
h_h006313,H01,h006313,21;22;23;24;26,2023-09-09,2023-09-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",21;22;23;24;26,22;26;5
h_h006315,H02,h006315,21;22;24;27;4,2023-09-10,2023-09-12,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;24;27;4,3;24;21
h_h006316,H02,h006316,1;21,2023-09-11,2023-09-13,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",1;21,24;21;6
h_h006320,H02,h006320,21;22;24;26;8,2023-09-09,2023-09-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",21;22;24;26;8,8;21;22
h_h006321,H01,h006321,2;27;5,2023-09-17,2023-09-18,,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",2;27;5,5;11;27
h_h006326,H02,h006326,21;22;24;26;9,2023-09-09,2023-09-10,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;24;26;9,22;24;26
h_h006332,H01,h006332,11;2;22,2023-09-09,2023-09-10,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",11;2;22,11;24;2
h_h006334,H02,h006334,22;24;26,2023-09-16,2023-09-18,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;24;26,26;22;24
h_h006338,H01,h006338,1;2;3;6;9,2023-09-14,2023-09-16,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;2;3;6;9,6;1;3
h_h006340,H02,h006340,1,2023-09-09,2023-09-11,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",1,1;23;21
h_h006341,H02,h006341,1,2023-09-15,2023-09-17,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",1,1;8;6
